meter_id,date,time,timestamp,total_active_energy_kwh,energy_consumed_kwh,units_consumed_now,todays_consumption_kwh,today_units_consumed,monthly_consumption_kwh,monthly_units_consumed,total_active_power_kw,p1_active_kw,p2_active_kw,p3_active_kw,percent_average_load,percent_load_l1,percent_load_l2,percent_load_l3,vll_avg,v12,v23,v31,vln_avg,v1_n,v2_n,v3_n,iavg,i1,i2,i3,pf_avg,frequency_hz
KSR-1,2025-01-10,00:00:00,2025-01-10 00:00:00,671075.5,0.66,0.66,0.66,0.66,8106.8,8106.8,38.97,15.6,12.61,8.37,60.13,73.96,62.59,42.76,409.31,409.9,408.48,408.78,228.37,235.08,233.13,230.57,60.13,73.96,62.59,42.76,0.93,50.34
KSR-2,2025-01-10,00:00:00,2025-01-10 00:00:00,415908.63,0.76,0.76,0.76,0.76,10148.98,10148.98,45.87,14.08,17.52,14.13,72.51,66.5,83.05,68.31,399.05,405.61,397.4,398.94,231.52,235.58,235.53,236.09,72.51,66.5,83.05,68.31,0.92,49.62
KSR-1,2025-01-10,00:01:00,2025-01-10 00:01:00,671076.15,0.65,0.65,1.31,1.31,8107.45,8107.45,37.53,15.24,13.27,9.02,59.07,73.12,58.37,45.05,399.76,404.74,408.7,401.03,229.21,236.84,236.78,236.66,59.07,73.12,58.37,45.05,0.9,49.52
KSR-2,2025-01-10,00:01:00,2025-01-10 00:01:00,415909.47,0.83,0.83,1.59,1.59,10149.82,10149.82,47.83,14.97,17.88,14.04,73.46,67.69,80.28,71.98,404.32,407.9,404.13,402.58,233.73,230.07,233.7,228.04,73.46,67.69,80.28,71.98,0.91,50.51
KSR-1,2025-01-10,00:02:00,2025-01-10 00:02:00,671076.82,0.67,0.67,1.98,1.98,8108.12,8108.12,38.75,15.85,12.73,8.92,58.2,72.61,62.43,45.61,410.7,404.15,394.91,410.02,231.74,231.35,235.05,232.27,58.2,72.61,62.43,45.61,0.91,49.75
KSR-2,2025-01-10,00:02:00,2025-01-10 00:02:00,415910.27,0.81,0.81,2.4,2.4,10150.62,10150.62,47.1,14.57,18.5,14.85,76.57,68.42,82.63,68.88,400.36,404.79,399.63,409.62,233.33,234.79,236.85,235.7,76.57,68.42,82.63,68.88,0.94,49.46
KSR-1,2025-01-10,00:03:00,2025-01-10 00:03:00,671077.46,0.64,0.64,2.62,2.62,8108.76,8108.76,38.67,15.99,13.03,8.85,56.85,69.33,59.75,42.75,409.87,404.31,404.87,397.36,234.99,234.88,236.27,235.26,56.85,69.33,59.75,42.75,0.9,50.55
KSR-2,2025-01-10,00:03:00,2025-01-10 00:03:00,415911.05,0.78,0.78,3.18,3.18,10151.4,10151.4,46.36,13.84,18.7,13.5,74.0,70.07,81.83,66.41,408.7,408.95,405.65,408.53,233.92,232.17,233.82,228.61,74.0,70.07,81.83,66.41,0.92,50.89
KSR-1,2025-01-10,00:04:00,2025-01-10 00:04:00,671078.11,0.65,0.65,3.27,3.27,8109.41,8109.41,38.56,15.81,12.8,8.27,59.15,70.56,59.77,42.44,407.4,402.94,396.74,397.91,232.0,232.43,236.44,230.35,59.15,70.56,59.77,42.44,0.9,49.03
KSR-2,2025-01-10,00:04:00,2025-01-10 00:04:00,415911.88,0.83,0.83,4.01,4.01,10152.23,10152.23,49.66,14.52,19.06,14.13,72.39,68.84,79.8,69.95,400.28,407.02,395.19,399.8,236.56,228.18,231.27,232.1,72.39,68.84,79.8,69.95,0.92,50.07
KSR-1,2025-01-10,00:05:00,2025-01-10 00:05:00,671078.77,0.66,0.66,3.93,3.93,8110.07,8110.07,38.17,14.54,13.3,8.2,57.73,71.11,61.4,45.2,409.42,411.88,397.86,399.57,230.16,232.84,232.11,237.45,57.73,71.11,61.4,45.2,0.9,50.56
